generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
17,1767473247.5577185,6,3.8161860255683044,4.411255012090787,3.4532961892593854,0.39858130175137907,1,0.0,100,17,0,0,0.0,,0.0,1.0,0.948474312822024,0.01
18,1767473247.5618742,6,3.728112743385859,4.300938499320825,3.3763525314586387,0.3823992129419242,1,0.0,100,18,0,0,0.0,,0.0,1.0,1.1812811295191448,0.01
19,1767473247.5660713,6,3.6531444247650433,4.218144619679346,3.298304125380004,0.37851868416280604,1,0.0,100,19,0,0,0.0,,0.0,1.0,0.8717006345589956,0.01
20,1767473247.5701997,6,3.569206927391915,4.124376093678462,3.224979929877467,0.3694575106524095,1,0.0,100,20,0,0,0.0,,0.0,1.0,1.1909136672814686,0.01
21,1767473247.5744226,6,3.4972199416647975,4.032256866015915,3.1591138593900734,0.3587948900003122,1,0.0,100,21,0,2,0.0,,0.0,1.0,0.8910139004389445,0.01
22,1767473247.5820563,8,3.808237400397361,4.917898379827909,3.1105998538802906,0.6903772831319911,1,0.0,100,22,3,0,0.375,,0.0,1.0,0.8675623312592506,0.01
23,1767473247.586026,5,4.097981584979549,4.791326938563367,3.29018220141913,0.5856763226728036,1,0.0,100,23,0,0,0.0,,0.0,1.0,1.0241721153259278,0.01
24,1767473247.589542,5,4.00480261332453,4.683143724038078,3.2174608354265697,0.5716783089358722,1,0.0,100,24,0,0,0.0,,0.0,1.0,1.0341539144515992,0.01
25,1767473247.5930862,5,3.9212235175907124,4.575072132048002,3.1813924238353732,0.5482039437072856,1,0.0,100,25,0,0,0.0,,0.0,1.0,0.9201413214206695,0.01
26,1767473247.5966196,5,3.8421278147470743,4.4753766260382335,3.124774979053234,0.5263162651203751,1,0.0,100,26,0,0,0.0,,0.0,1.0,0.8394996166229248,0.01
27,1767473247.6002305,5,3.7588959131705897,4.367737197552873,3.073313063615368,0.5051436357257856,1,0.0,100,27,0,0,0.0,,0.0,1.0,0.9724113821983338,0.01
28,1767473247.6037784,5,3.675969339207518,4.27987044337046,3.008179320588754,0.49335709176363246,1,0.0,100,28,0,0,0.0,,0.0,1.0,1.04727303981781,0.01
29,1767473247.6073177,5,3.5970726481690605,4.18333619053659,2.9431784068827023,0.48381548981875605,1,0.0,100,29,2,0,0.4,,0.0,1.0,1.0242344856262207,0.01
30,1767473247.6099658,3,3.8092190951167404,4.09589674187525,3.3006188480095555,0.3606050124693241,1,0.0,100,30,0,0,0.0,,0.0,1.0,1.2055208484331768,0.01
31,1767473247.612316,3,3.7220944814214696,4.000535089371989,3.2279978739872273,0.3503180173058026,1,0.0,100,31,0,2,0.0,,0.0,1.0,1.1052254438400269,0.01
32,1767473247.6175587,5,4.129806046759903,4.877736498544162,3.144871442629515,0.6662766132362744,1,0.0,100,32,0,0,0.0,,0.0,1.0,1.3740413904190063,0.01
33,1767473247.6211326,5,4.027749510268737,4.755613233510902,3.070802457046522,0.6460799862154342,1,0.0,100,33,0,0,0.0,,0.0,1.0,1.4604095458984374,0.01
34,1767473247.6245954,5,3.9328485013106826,4.643953948168478,3.0115046120177764,0.6252642232120043,1,0.0,100,34,0,0,0.0,,0.0,1.0,1.2576193928718566,0.01
35,1767473247.6281338,5,3.84496244579665,4.555650562861646,2.943016039100807,0.6132033023709664,1,0.0,100,35,0,0,0.0,,0.0,1.0,1.1038072943687438,0.01
36,1767473247.6316602,5,3.7635190185204914,4.434820483972351,2.8832090319947374,0.5916448788347046,1,0.0,100,36,2,0,0.4,,0.0,1.0,1.0831779420375824,0.01
37,1767473247.6342893,3,4.041165402194797,4.327878859009375,3.4775667479794654,0.39854462815413444,1,0.0,100,37,0,0,0.0,,0.0,1.0,0.987555185953776,0.01
38,1767473247.636564,3,3.954173633650505,4.2252060183243145,3.415712958405047,0.38075203782594963,1,0.0,100,38,0,0,0.0,,0.0,1.0,0.9056633909543356,0.01
39,1767473247.6388702,3,3.860188311004878,4.127814593158092,3.340805521220014,0.3673162344895493,1,0.0,100,39,0,0,0.0,,0.0,1.0,1.2917855183283489,0.01
40,1767473247.6411493,3,3.7717025586737005,4.040106971482638,3.261036427860432,0.3612531734511202,1,0.0,100,40,0,0,0.0,,0.0,1.0,1.1596241394678752,0.01
41,1767473247.6434205,3,3.6963248390133607,3.962265587819976,3.1932702366693815,0.3559079442564797,1,0.0,100,41,0,2,0.0,,0.0,1.0,0.8137997388839722,0.01
42,1767473247.6485403,5,4.112227285833155,4.881390694996355,3.1222200189817597,0.6761589075098051,1,0.0,100,42,0,0,0.0,,0.0,1.0,1.576704490184784,0.01
43,1767473247.6520855,5,4.0290004549141525,4.767433599253302,3.0855738238516555,0.6489646208826423,1,0.0,100,43,2,0,0.4,,0.0,1.0,0.8009702086448669,0.01
44,1767473247.6546986,3,4.343618253615557,4.66395417684995,3.716730405500893,0.4433123655979171,1,0.0,100,44,0,0,0.0,,0.0,1.0,0.8104512492815653,0.01
45,1767473247.6569996,3,4.241177009395305,4.545646299717127,3.6354450898513937,0.42831914848207586,1,0.0,100,45,0,0,0.0,,0.0,1.0,1.1082937916119893,0.01
46,1767473247.659294,3,4.144268514101616,4.436494572273041,3.5653061056985793,0.40939437952598523,1,0.0,100,46,0,0,0.0,,0.0,1.0,1.046772062778473,0.01
47,1767473247.6615608,3,4.046930744162478,4.330688635223796,3.485534772564132,0.39697476050361324,1,0.0,100,47,0,0,0.0,,0.0,1.0,1.146715799967448,0.01
48,1767473247.66393,3,3.9512385424497154,4.232573770701981,3.4060963120689007,0.38554018224320696,1,0.0,100,48,0,0,0.0,,0.0,1.0,1.2069890697797139,0.01
49,1767473247.666204,3,3.863588314061,4.13093911331461,3.3477211468005073,0.3648542034321118,1,0.0,100,49,0,0,0.0,,0.0,1.0,1.048105239868164,0.01
50,1767473247.668469,3,3.7788311029244515,4.045105785525644,3.277177100524026,0.35494711761419767,1,0.0,100,50,1,0,0.3333333333333333,,0.0,1.0,0.9896257718404134,0.01
