generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
16,1767473248.0809948,5,3.5051581384147874,3.5591418752769917,3.4522091762246916,0.04225685688764179,4,0.0,100,16,0,0,0.0,flood,0.3,1.0,1.1382118105888366,0.01
17,1767473248.0857098,5,3.4365364144074944,3.4856890122725988,3.383825398997651,0.041806300287842595,4,0.0,100,17,0,0,0.0,,0.0,1.0,0.8585098385810852,0.01
18,1767473248.0903406,5,3.362107356326832,3.408614573664929,3.3141274732886594,0.037918885669255144,4,0.0,100,18,0,0,0.0,,0.0,1.0,1.1007389187812806,0.01
19,1767473248.0949836,5,3.2874872895158056,3.323987705581312,3.2335997392877616,0.03856661109473349,4,0.0,100,19,0,1,0.0,,0.0,1.0,1.2455430030822754,0.01
20,1767473248.10132,6,3.492830421528998,4.880387727482993,3.1625820219750733,0.6216784697276472,4,0.0,100,20,0,0,0.0,,0.0,1.0,1.2848199903964996,0.01
21,1767473248.1066575,6,3.415476260091021,4.764247410400188,3.092873247232006,0.6043612125279452,4,0.0,100,21,0,0,0.0,,0.0,1.0,1.1465801099936168,0.01
22,1767473248.1119888,6,3.342340001592276,4.639310547554043,3.0319682527323955,0.5810550094093708,4,0.0,100,22,0,0,0.0,,0.0,1.0,1.0934719343980153,0.01
23,1767473248.1171842,6,3.2687313556987085,4.5180297335836626,2.9592731807739745,0.5597933300360705,4,0.0,100,23,0,0,0.0,,0.0,1.0,1.213371217250824,0.01
24,1767473248.1223903,6,3.203584020364485,4.407150043473963,2.9011150315296392,0.5393113037807559,4,0.0,100,24,0,0,0.0,,0.0,1.0,0.9564931690692902,0.01
25,1767473248.1279786,6,3.1349557294781825,4.304019411690648,2.839855958627648,0.5240218148862731,4,0.0,100,25,1,0,0.16666666666666666,,0.0,1.0,1.1260645588239033,0.01
26,1767473248.1330707,5,3.1237746666238015,4.209425401349324,2.8140721698195756,0.5432263768531681,4,0.0,100,26,0,0,0.0,,0.0,1.0,1.2352596282958985,0.01
27,1767473248.1376624,5,3.0656636060222233,4.108733765144447,2.7570251482791304,0.5221551259961065,4,0.0,100,27,0,0,0.0,,0.0,1.0,0.9666326522827149,0.01
28,1767473248.1423352,5,3.0053310443308128,4.011114059334175,2.697636785962223,0.5037967591765596,4,0.0,100,28,0,0,0.0,,0.0,1.0,0.9897988438606262,0.01
29,1767473248.1470492,5,2.939980909196789,3.913800219629954,2.6651781389079154,0.4872803001627181,4,0.0,100,29,0,0,0.0,,0.0,1.0,1.4348222374916078,0.01
30,1767473248.1516354,5,2.899155505033017,3.8380938629836714,2.627888352055402,0.4705360075178243,4,0.0,100,30,0,0,0.0,,0.0,1.0,0.6953534483909607,0.01
31,1767473248.1562672,5,2.8450274705371363,3.7384360938933145,2.5748326595109003,0.4488474191895415,4,0.0,60,31,0,0,0.0,drought,0.4,1.0,1.1538368344306946,0.01
32,1767473248.1609848,5,2.78990083702402,3.6450715995024945,2.539223579597488,0.42997889573189346,4,0.0,100,32,0,0,0.0,,0.0,1.0,1.1088689327239991,0.01
33,1767473248.1656868,5,2.730687562490136,3.5769653035263533,2.4785822186514137,0.4254646170265556,4,0.0,100,33,0,0,0.0,,0.0,1.0,1.404796874523163,0.01
34,1767473248.1703749,5,2.6892830110392447,3.5049932408037776,2.43242283607151,0.41050901060951284,4,0.0,100,34,0,0,0.0,,0.0,1.0,0.8753338575363159,0.01
35,1767473248.175044,5,2.6464697122573186,3.4410663039885003,2.3996127472147526,0.400480760633853,4,0.0,100,35,0,0,0.0,,0.0,1.0,0.8270591616630554,0.01
36,1767473248.1796978,5,2.594681193941317,3.358875470818538,2.3498488339536863,0.385819334488747,4,0.0,100,36,0,0,0.0,flood,0.3,1.0,1.136023473739624,0.01
37,1767473248.1843705,5,2.546776192534766,3.275911185459215,2.310442776291139,0.36869407440600616,4,0.0,100,37,1,1,0.2,,0.0,1.0,1.0906471729278564,0.01
38,1767473248.1897662,5,3.023701200957603,4.878259657819909,2.281461616605216,0.9859979726356822,3,0.0,100,38,0,0,0.0,,0.0,1.0,1.0002090334892273,0.01
39,1767473248.193895,5,2.9629725383534384,4.765594217290778,2.230846864088628,0.9597893437726682,3,0.0,100,39,0,0,0.0,,0.0,1.0,1.0696697235107422,0.01
40,1767473248.1979063,5,2.9019423239554807,4.646524161170916,2.195525464264693,0.9291090616572543,3,0.0,100,40,0,0,0.0,,0.0,1.0,1.086407446861267,0.01
41,1767473248.2019062,5,2.8407137447817288,4.53081311556519,2.1522449741744625,0.9018622814354943,3,0.0,100,41,0,0,0.0,,0.0,1.0,1.206669819355011,0.01
42,1767473248.2060666,5,2.7889407115565907,4.419008047495891,2.11053561722144,0.8729368467204865,3,0.0,100,42,0,0,0.0,,0.0,1.0,0.9888013958930969,0.01
43,1767473248.2101142,5,2.754837106293869,4.3109599869226765,2.1330030368137693,0.8350461220738343,3,0.0,100,43,0,0,0.0,,0.0,1.0,0.8154101371765137,0.01
44,1767473248.2141705,5,2.7030314244911504,4.2028932177711,2.110707991493531,0.8045735006141126,3,0.0,100,44,0,0,0.0,,0.0,1.0,1.042163908481598,0.01
45,1767473248.2182424,5,2.6632489722232657,4.109547512746816,2.0711722040077807,0.7769558157537102,3,0.0,100,45,0,0,0.0,,0.0,1.0,0.8310708343982697,0.01
46,1767473248.2222629,5,2.617415142856923,4.011619971437746,2.034861875959861,0.7466300711506755,3,0.0,100,46,0,0,0.0,,0.0,1.0,1.0405980706214906,0.01
47,1767473248.2263603,5,2.567098051480874,3.923788134323817,2.0157001575934927,0.7263674166621985,3,0.0,100,47,0,0,0.0,,0.0,1.0,1.2347958564758301,0.01
48,1767473248.230391,5,2.5224993893395444,3.8381367741245094,1.9881371904452394,0.7034797792347189,3,0.0,100,48,0,0,0.0,,0.0,1.0,0.9337123990058899,0.01
49,1767473248.234456,5,2.478931527822435,3.740419303298318,1.9669191205455434,0.6730592780701605,3,0.0,100,49,1,0,0.2,,0.0,1.0,1.063604712486267,0.01
50,1767473248.238254,4,2.564293656183557,3.6577306350983534,1.9796184072725174,0.6693234988529357,3,0.0,100,50,0,0,0.0,,0.0,1.0,0.9442392885684967,0.01
51,1767473248.2416587,4,2.521838526960807,3.584105148988888,1.9507461892159736,0.6494410010716513,3,0.0,60,51,0,0,0.0,drought,0.4,1.0,0.8868214190006256,0.01
52,1767473248.2451997,4,2.478196253921232,3.5055209958888263,1.9217200172247821,0.628649193775573,3,0.0,100,52,0,0,0.0,,0.0,1.0,0.9443401247262955,0.01
53,1767473248.2486556,4,2.431755352308735,3.424644409322651,1.883049114776778,0.6080233701532545,3,0.0,100,53,0,0,0.0,,0.0,1.0,1.1579274088144302,0.01
54,1767473248.252084,4,2.3861649801401636,3.3537890468159883,1.8500813617746894,0.5918551235972382,3,0.0,100,54,0,0,0.0,,0.0,1.0,1.1216107606887817,0.01
55,1767473248.2554755,4,2.354886946880291,3.2793876678864002,1.8475705096908068,0.5645023307595872,3,0.0,100,55,0,1,0.0,,0.0,1.0,0.7985235303640366,0.01
56,1767473248.2605338,5,2.8300426151049023,4.8722397277603395,1.813533270318852,1.1326849704189281,3,0.0,100,56,0,0,0.0,flood,0.3,1.0,1.0111004710197449,0.01
57,1767473248.2647078,5,2.776885194231242,4.748798164102683,1.796702648420021,1.0932009062771766,3,0.0,100,57,0,0,0.0,,0.0,1.0,0.9989634037017823,0.01
58,1767473248.2687423,5,2.7193241725898316,4.629174276958049,1.7604434848185362,1.060278030141029,3,0.0,100,58,0,0,0.0,,0.0,1.0,1.2162152171134948,0.01
59,1767473248.2728233,5,2.6688963060964745,4.510656447242105,1.7275199757456616,1.0233643304752933,3,0.0,100,59,0,0,0.0,,0.0,1.0,1.1193434238433837,0.01
60,1767473248.2768528,5,2.6217715533456762,4.4081419015505805,1.7064824945802664,0.9914565712745628,3,0.0,100,60,0,0,0.0,,0.0,1.0,0.93739413022995,0.01
61,1767473248.2809532,5,2.5731381647622653,4.299175110041568,1.7194962371016076,0.9542520359334062,3,0.0,100,61,1,0,0.2,,0.0,1.0,1.2197884738445282,0.01
62,1767473248.284578,4,2.7327017327870133,4.19721151465653,1.7834518060621676,0.9241144568660309,2,0.0,100,62,0,0,0.0,,0.0,1.0,1.067373052239418,0.01
63,1767473248.2877755,4,2.6842578833567265,4.095949128066383,1.7696501065621555,0.8921081084829737,2,0.0,100,63,0,0,0.0,,0.0,1.0,0.933152973651886,0.01
64,1767473248.2909973,4,2.637798974189977,3.998689029746434,1.7486587986191184,0.8601675728976399,2,0.0,100,64,0,0,0.0,,0.0,1.0,0.9274689108133316,0.01
65,1767473248.294237,4,2.595805249018116,3.9091317715880995,1.7526495282262426,0.8276069021333577,2,0.0,100,65,0,0,0.0,,0.0,1.0,0.8656120300292969,0.01
66,1767473248.298267,4,2.5482820448365127,3.8235120058423595,1.742541423810512,0.8005156610769335,2,0.0,100,66,0,0,0.0,,0.0,1.0,1.0633969008922577,0.01
67,1767473248.3014867,4,2.505102727612646,3.7399913659076653,1.7309600329359267,0.7738103857883231,2,0.0,100,67,0,0,0.0,,0.0,1.0,0.9172458201646805,0.01
68,1767473248.304638,4,2.462365386036826,3.669987977647476,1.7091805303837526,0.7557019982965798,2,0.0,100,68,0,0,0.0,,0.0,1.0,0.9499047696590424,0.01
69,1767473248.3078496,4,2.421494302616546,3.6061680762253747,1.701864007767873,0.7380240835431386,2,0.0,100,69,0,0,0.0,,0.0,1.0,1.0637773871421814,0.01
70,1767473248.311006,4,2.387923233225249,3.5570254469424643,1.6754639521643282,0.726411276585377,2,0.0,100,70,0,0,0.0,,0.0,1.0,0.8657710254192352,0.01
