generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
16,1767473246.6779208,5,3.5083714403559605,3.54982225662896,3.4517741034549343,0.037287384293375976,1,0.0,100,16,0,1,0.0,,0.0,1.0,0.9480131149291993,0.01
17,1767473246.6842785,6,3.67348994694299,4.878778709325002,3.3722947040083953,0.5403292215130312,1,0.0,100,17,0,0,0.0,,0.0,1.0,1.153825620810191,0.01
18,1767473246.6885307,6,3.5858478444345763,4.74764850960454,3.286585211793019,0.5209188685172124,1,0.0,100,18,0,0,0.0,,0.0,1.0,1.4457009732723236,0.01
19,1767473246.6926737,6,3.511397918512324,4.627229050197376,3.224009964493687,0.5003996604371783,1,0.0,100,19,0,0,0.0,,0.0,1.0,1.032030036052068,0.01
20,1767473246.696774,6,3.4334950212330875,4.523903668232444,3.150309616127233,0.4890406692034652,1,0.0,100,20,0,0,0.0,,0.0,1.0,1.192740261554718,0.01
21,1767473246.7009318,6,3.3604963077018297,4.426751275233422,3.0929086134413573,0.4780339048439941,1,0.0,100,21,1,0,0.16666666666666666,,0.0,1.0,1.1152302126089733,0.01
22,1767473246.7049184,5,3.3493461513359484,4.319216653819361,3.065600111700926,0.48547133384708757,1,0.0,100,22,0,0,0.0,,0.0,1.0,0.8852321445941925,0.01
23,1767473246.7084277,5,3.2755346621675727,4.222399444580971,3.003811399630594,0.473926429035867,1,0.0,100,23,0,0,0.0,,0.0,1.0,1.2080988526344298,0.01
24,1767473246.7119052,5,3.2050517236332077,4.119790495948403,2.9584734368686987,0.45760557724494455,1,0.0,100,24,0,0,0.0,,0.0,1.0,1.1856271147727966,0.01
25,1767473246.7154062,5,3.136261924227991,4.021153131791924,2.890476661889721,0.442902080539619,1,0.0,100,25,0,0,0.0,,0.0,1.0,1.1743420362472534,0.01
26,1767473246.7189076,5,3.0743996723901303,3.9264916319374104,2.818645027726652,0.42720085455814477,1,0.0,100,26,0,0,0.0,,0.0,1.0,1.107373869419098,0.01
27,1767473246.7224355,5,3.014621256063333,3.8555964938041845,2.755458037547849,0.42202293545301145,1,0.0,100,27,0,0,0.0,,0.0,1.0,1.0083335995674134,0.01
28,1767473246.725932,5,2.956165763769204,3.7680715729062966,2.6966324138920985,0.40831840060404223,1,0.0,100,28,0,0,0.0,,0.0,1.0,1.0100045323371887,0.01
29,1767473246.729427,5,2.9010607756165165,3.689246041106216,2.656680829621138,0.39628092732428905,1,0.0,100,29,0,0,0.0,,0.0,1.0,0.9214471220970154,0.01
30,1767473246.7329204,5,2.8375681404479325,3.6011180371030953,2.6061470600867653,0.38352121091605473,1,0.0,100,30,0,0,0.0,,0.0,1.0,1.328664779663086,0.01
31,1767473246.736412,5,2.79989395510273,3.5136717836695994,2.560952529458568,0.35979094809137524,1,0.0,100,31,1,1,0.2,,0.0,1.0,0.8679020524024963,0.01
