generation,timestamp,num_trees,avg_fitness,max_fitness,min_fitness,fitness_std,unique_architectures,avg_tree_age,total_data_allocated,competition_events,trees_pruned,trees_planted,selection_rate,disruption_type,disruption_severity,survival_rate,avg_training_loss,avg_learning_rate
1,1767473247.682166,7,4.88414217028594,4.908780472625347,4.872504116212097,0.011367667881338438,1,0.0,100,1,0,1,0.0,,0.0,1.0,0.9573008247784206,0.01
2,1767473247.6888928,8,4.78359506134239,4.880480808770885,4.75098111853646,0.03961691855647147,1,0.0,100,2,0,0,0.0,,0.0,1.0,0.9807103946805,0.01
3,1767473247.694284,8,4.677327632011806,4.791682899133144,4.634550781221375,0.05145843719461264,1,0.0,100,3,0,0,0.0,,0.0,1.0,1.0109063647687435,0.01
4,1767473247.6996324,8,4.569242586021842,4.678092143746719,4.520655428702496,0.051647860875480824,1,0.0,100,4,0,0,0.0,,0.0,1.0,0.9677275791764259,0.01
5,1767473247.7050211,8,4.469144781314301,4.598340688961687,4.405592468941897,0.057225662332515415,1,0.0,100,5,0,0,0.0,,0.0,1.0,0.9526127204298973,0.01
6,1767473247.7110565,8,4.3617070166852345,4.494686579484371,4.28684014212155,0.05858136810026971,1,0.0,100,6,0,0,0.0,,0.0,1.0,1.3399227559566498,0.01
7,1767473247.716453,8,4.268091289384549,4.3887026955828565,4.218146849722011,0.05079086436812618,1,0.0,100,7,0,0,0.0,,0.0,1.0,0.8731264472007751,0.01
8,1767473247.7217739,8,4.175418960759709,4.269911343511351,4.119954833329177,0.0472781972949132,1,0.0,100,8,0,0,0.0,,0.0,1.0,1.3485787473618984,0.01
9,1767473247.7271724,8,4.08900918444389,4.171197156321975,4.023904332803525,0.04849441729402233,1,0.0,100,9,0,0,0.0,,0.0,1.0,0.9647982679307461,0.01
10,1767473247.732532,8,3.993071974936231,4.067105124775928,3.938915847362277,0.04099581332518301,1,0.0,100,10,0,0,0.0,,0.0,1.0,1.2822921946644783,0.01
11,1767473247.737945,8,3.9172979069613456,4.0048448513624875,3.861602732276723,0.04560209826066769,1,0.0,100,11,0,0,0.0,,0.0,1.0,0.9624445736408234,0.01
12,1767473247.7434196,8,3.830432367527255,3.913982069179212,3.7791188734912957,0.04220880793680196,1,0.0,100,12,0,0,0.0,,0.0,1.0,1.027037724852562,0.01
